"28’300","0.00","1.00", 
"29’000","7.00","1.00", 
"30’000","17.00","1.00", 
"31’000","27.00","1.00", 
"32’000","37.00","1.00", 
"33’000","47.00","1.00", 
"34’000","57.00","1.00", 
"35’000","67.00","1.00", 
"36’000","77.00","1.00", 
"37’000","87.00","1.00", 
"38’000","97.00","1.00", 
"39’000","107.00","1.00", 
"40’000","117.00","1.00", 
"41’000","127.00","1.00", 
"42’000","137.00","1.00", 
"43’000","147.00","1.00", 
"44’000","157.00","1.00", 
"45’000","167.00","1.00", 
"46’000","177.00","1.00", 
"47’000","187.00","1.00", 
"48’000","197.00","1.00", 
"49’000","207.00","1.00", 
"50’000","217.00","1.00", 
"51’000","228.00","2.00", 
"52’000","248.00","2.00", 
"53’000","268.00","2.00", 
"54’000","288.00","2.00", 
"55’000","308.00","2.00", 
"56’000","328.00","2.00", 
"57’000","348.00","2.00", 
"58’000","368.00","2.00", 
"58’500","379.00","3.00", 
"59’000","394.00","3.00", 
"60’000","424.00","3.00", 
"61’000","454.00","3.00", 
"62’000","484.00","3.00", 
"63’000","514.00","3.00", 
"64’000","544.00","3.00", 
"65’000","574.00","3.00", 
"66’000","604.00","3.00", 
"67’000","634.00","3.00", 
"68’000","664.00","3.00", 
"69’000","694.00","3.00", 
"70’000","724.00","3.00", 
"71’000","754.00","3.00", 
"72’000","784.00","3.00", 
"73’000","814.00","3.00", 
"74’000","844.00","3.00", 
"75’000","874.00","3.00", 
"75’400","887.00","4.00", 
"76’000","911.00","4.00", 
"77’000","951.00","4.00", 
"78’000","991.00","4.00", 
"79’000","1’031.00","4.00", 
"80’000","1’071.00","4.00", 
"81’000","1’111.00","4.00", 
"82’000","1’151.00","4.00", 
"83’000","1’191.00","4.00", 
"84’000","1’231.00","4.00", 
"85’000","1’271.00","4.00", 
"86’000","1’311.00","4.00", 
"87’000","1’351.00","4.00", 
"88’000","1’391.00","4.00", 
"89’000","1’431.00","4.00", 
"90’000","1’471.00","4.00", 
"90’400","1’488.00","5.00", 
"91’000","1’518.00","5.00", 
"92’000","1’568.00","5.00", 
"93’000","1’618.00","5.00", 
"94’000","1’668.00","5.00", 
"95’000","1’718.00","5.00", 
"96’000","1’768.00","5.00", 
"97’000","1’818.00","5.00", 
"98’000","1’868.00","5.00", 
"99’000","1’918.00","5.00", 
"100’000","1’968.00","5.00", 
"103’500","2’144.00","6.00", 
"110’000","2’534.00","6.00", 
"114’800","2’823.00","7.00", 
"120’000","3’187.00","7.00", 
"124’300","3’489.00","8.00", 
"130’000","3’945.00","8.00", 
"131’800","4’090.00","9.00", 
"137’400","4’595.00","10.00", 
"140’000","4’855.00","10.00", 
"141’300","4’986.00","11.00", 
"143’200","5’196.00","12.00", 
"145’100","5’425.00","13.00", 
"150’000","6’062.00","13.00", 
"160’000","7’362.00","13.00", 
"170’000","8’662.00","13.00", 
"180’000","9’962.00","13.00", 
"190’000","11’262.00","13.00", 
"200’000","12’562.00","13.00", 
"250’000","19’062.00","13.00", 
"300’000","25’562.00","13.00", 
"350’000","32’062.00","13.00", 
"400’000","38’562.00","13.00", 
"450’000","45’062.00","13.00", 
"500’000","51’562.00","13.00", 
"550’000","58’062.00","13.00", 
"600’000","64’562.00","13.00", 
"650’000","71’062.00","13.00", 
"700’000","77’562.00","13.00", 
"750’000","84’062.00","13.00", 
"800’000","90’562.00","13.00", 
"850’000","97’062.00","13.00", 
"896’000","103’040.00","11.50", 
